scenarios,rating,goal,gpt-4_1-annotated_results,claude-3_7-annotated_results,golden_label
"Scenario:
Imagine that Bob just gave a presentation, but he didn't know how good it was. Bob approached John, who knows a lot about giving presentations, and asked ""How was my presentation?""
Rating:
Here's how John actually felt about Bob's presentation:
0 out of 3 hearts
Question:
If John wanted to BOTH make Bob feel good AND give accurate and informative feedback,
What would John be most likely to say?
'Response: 'While your presentation had potential, I noticed several areas we could work on together to make it much stronger next time.",0,both,"Politeness marker: had potential
Politeness strategy:
1. Positive Politeness - Positive Lexicon (positive sentiment, optimism)

Politeness marker: we could work on together
Politeness strategy:
1. Positive Politeness - Include both speaker and hearer (inclusive ‘we’)

Politeness marker: much stronger next time
Politeness strategy:
1. Positive Politeness - Be optimistic","Politeness marker: While your presentation had potential
Politeness strategy:
1. Positive Politeness - Avoid disagreement
2. Positive Politeness - Be optimistic

Politeness marker: we could work on together
Politeness strategy:
1. Positive Politeness - Include both speaker and hearer (inclusive 'we')
2. Negative Politeness - Minimize the imposition

Politeness marker: to make it much stronger next time
Politeness strategy:
1. Positive Politeness - Be optimistic
2. Positive Politeness - Offer, promise","Politeness marker: While your presentation had potential
Politeness strategy: 1. Positive Politeness - Avoid disagreement
2. Positive Politeness - Positive Lexicon (positive sentiment, optimism)

Politeness marker: we could work on together
Politeness strategy:
1. Positive Politeness - Include both speaker and hearer (inclusive ‘we’) 2. Negative Politeness - Counterfactual modal forms

Politeness marker: much stronger next time
Politeness strategy:
1. Positive Politeness - Be optimistic "
"Scenario:
Imagine that Bob just gave a presentation, but he didn't know how good it was. Bob approached John, who knows a lot about giving presentations, and asked ""How was my presentation?""
Rating:
Here's how John actually felt about Bob's presentation:
0 out of 3 hearts
Question:
If John wanted to BOTH make Bob feel good AND give accurate and informative feedback,
What would John be most likely to say?
'Response: 'Your presentation had potential, but there are areas where you can improve to make it even better.",0,both,"Politeness marker: had potential
Politeness strategy:
1. Positive Politeness - Positive Lexicon (positive sentiment, optimism)

Politeness marker: there are areas where you can improve
Politeness strategy:
1. Off-Record - Be vague

Politeness marker: to make it even better
Politeness strategy:
1. Positive Politeness - Be optimistic","Politeness marker: had potential
Politeness strategy:
1. Positive Politeness - Avoid disagreement

Politeness marker: areas where you can improve
Politeness strategy:
1. Negative Politeness - Impersonalize speaker and hearer
2. Negative Politeness - Minimize the imposition

Politeness marker: to make it even better
Politeness strategy:
1. Positive Politeness - Be optimistic","Politeness marker: had potential
Politeness strategy:
1. Positive Politeness - Positive Lexicon (positive sentiment, optimism)

Politeness marker: there are areas where you can improve
Politeness strategy:
1. Off-Record - Be vague

Politeness marker: to make it even better
Politeness strategy:
1. Positive Politeness - Be optimistic"
"Scenario:
Imagine that Bob just gave a presentation, but he didn't know how good it was. Bob approached John, who knows a lot about giving presentations, and asked ""How was my presentation?""
Rating:
Here's how John actually felt about Bob's presentation:
0 out of 3 hearts
Question:
If John wanted to BOTH make Bob feel good AND give accurate and informative feedback,
What would John be most likely to say?
'Response: ' I thought your presentation had some good points, but there were a few areas where you could improve, for example, making more eye contact with the audience would help to keep them engaged.",0,both,"Politeness marker: had some good points
Politeness strategy:
1. Positive Politeness - Positive Lexicon (good)

Politeness marker: there were a few areas where you could improve
Politeness strategy:
1. Negative Politeness - Question, hedge (a few areas, could improve)

Politeness marker: would help to keep them engaged
Politeness strategy:
1. Negative Politeness - Counterfactual modal forms (would help)","Politeness marker: I thought your presentation had some good points
Politeness strategy:
1. Positive Politeness - Avoid disagreement
2. Negative Politeness - Hedge

Politeness marker: but there were a few areas where you could improve
Politeness strategy:
1. Negative Politeness - Minimize the imposition
2. Negative Politeness - Counterfactual modal forms (could/would)

Politeness marker: making more eye contact with the audience would help
Politeness strategy:
1. Negative Politeness - Counterfactual modal forms (could/would)
2. Off-Record - Give hints","Politeness marker: I thought
Politeness strategy:
1. Negative Politeness - Question, hedge  Politeness marker: had some good points
Politeness strategy:
1. Positive Politeness - Positive Lexicon  (positive sentiment, optimism)

Politeness marker: there were a few areas where you could improve
Politeness strategy: 1. Negative Politeness - Minimize the imposition
2. Negative Politeness - Counterfactual modal forms
3. Negative Politeness - Question, hedge  Politeness marker: making more eye contact with the audience  Politeness strategy:
1. Off-Record - Give hints 
Politeness marker: would help to keep them engaged
Politeness strategy:
1. Negative Politeness - Counterfactual modal forms (would help) "
"Scenario:
Imagine that Bob just gave a presentation, but he didn't know how good it was. Bob approached John, who knows a lot about giving presentations, and asked ""How was my presentation?""
Rating:
Here's how John actually felt about Bob's presentation:
0 out of 3 hearts
Question:
If John wanted to BOTH make Bob feel good AND give accurate and informative feedback,
What would John be most likely to say?
'Response: 'It could use some work.",0,both,"Politeness marker: could use some work  
Politeness strategy:  
1. Negative Politeness – Counterfactual modal forms (could)  
2. Off-Record – Understate (use some work)","Politeness marker: It could use some work
Politeness strategy:
1. Negative Politeness + Counterfactual modal forms (could/would)
2. Off-Record + Understate","Politeness marker: could use some work  
Politeness strategy:  
1. Negative Politeness – Counterfactual modal forms
2. Off-Record – Understate "
"Scenario:
Imagine that Bob just gave a presentation, but he didn't know how good it was. Bob approached John, who knows a lot about giving presentations, and asked ""How was my presentation?""
Rating:
Here's how John actually felt about Bob's presentation:
0 out of 3 hearts
Question:
If John wanted to BOTH make Bob feel good AND give accurate and informative feedback,
What would John be most likely to say?
'Response: 'Bob, let's go to a toastmaster's group and we can both get better.",0,both,"Politeness marker: let's go to a toastmaster's group and we can both get better
Politeness strategy:
1. Positive Politeness + Include both speaker and hearer (inclusive ‘we’)
2. Positive Politeness + Presuppose/assert common ground (we can both get better)","Politeness marker: let's go to a toastmaster's group
Politeness strategy:
1. Positive Politeness - Include both speaker and hearer (inclusive 'we')

Politeness marker: we can both get better
Politeness strategy:
1. Positive Politeness - Include both speaker and hearer (inclusive 'we')
2. Positive Politeness - Avoid disagreement

Politeness marker: Bob
Politeness strategy:
1. Positive Politeness - Use in-group identity markers","Politeness marker: let's go to a toastmaster's group [let’s]
Politeness strategy:
1. Positive Politeness - Include both speaker and hearer

Politeness marker: we can both get better
Politeness strategy:
1. Positive Politeness - Include both speaker and hearer
2. Positive Politeness - Presuppose/assert common ground

Politeness marker: Bob
Politeness strategy:
1. Positive Politeness - Use in-group identity markers"
"Scenario:
Imagine that Bob just gave a presentation, but he didn't know how good it was. Bob approached John, who knows a lot about giving presentations, and asked ""How was my presentation?""
Rating:
Here's how John actually felt about Bob's presentation:
0 out of 3 hearts
Question:
If John wanted to BOTH make Bob feel good AND give accurate and informative feedback,
What would John be most likely to say?
'Response: 'Your presentation is energy consuming.",0,both,"Politeness marker: energy consuming  
Politeness strategy:  
1. Off-record (Understate)","Politeness marker: Your presentation is energy consuming.
Politeness strategy:
1. Off-Record + Be ambiguous
2. Off-Record + Use metaphors","Politeness marker: Your presentation is energy consuming.
Politeness strategy:
1. Off-Record - Be ambiguous 2. Off-record - Understate
"
"Scenario:
Imagine that Bob just gave a presentation, but he didn't know how good it was. Bob approached John, who knows a lot about giving presentations, and asked ""How was my presentation?""
Rating:
Here's how John actually felt about Bob's presentation:
0 out of 3 hearts
Question:
If John wanted to give as accurate and informative feedback as possible, but not necessarily make Bob feel good,
What would John be most likely to say?
'Response: 'Your presentation had significant issues with organization and delivery that need improvement.",0,informative,"Politeness marker: [need improvement]
Politeness strategy:
1. Off-record (Understate)","Politeness marker: significant issues
Politeness strategy:
1. Negative Politeness - Hedge (significant issues rather than terrible problems)

Politeness marker: need improvement
Politeness strategy:
1. Negative Politeness - Impersonalize speaker and hearer (need improvement rather than you need to improve)
2. Positive Politeness - Be optimistic (implies possibility of improvement)","Politeness marker: [None] Politeness strategy: [None]"
"Scenario:
Imagine that Bob just gave a presentation, but he didn't know how good it was. Bob approached John, who knows a lot about giving presentations, and asked ""How was my presentation?""
Rating:
Here's how John actually felt about Bob's presentation:
0 out of 3 hearts
Question:
If John wanted to give as accurate and informative feedback as possible, but not necessarily make Bob feel good,
What would John be most likely to say?
'Response: 'Your presentation wasn't good and needs significant improvement.",0,informative,"Politeness marker: needs significant improvement  
Politeness strategy:  
1. Off-record (Understate)","Politeness marker: wasn't good
Politeness strategy:
1. Bald-on-Record + Factuality (direct assertions, less polite)

Politeness marker: needs significant improvement
Politeness strategy:
1. Bald-on-Record + Factuality (direct assertions, less polite)","Politeness marker: wasn't good
Politeness strategy:
1. Bald-on-Record + Factuality (direct assertions, less polite)

Politeness marker: needs significant improvement
Politeness strategy:
1. Bald-on-Record + Factuality (direct assertions, less polite)"
"Scenario:
Imagine that Bob just gave a presentation, but he didn't know how good it was. Bob approached John, who knows a lot about giving presentations, and asked ""How was my presentation?""
Rating:
Here's how John actually felt about Bob's presentation:
0 out of 3 hearts
Question:
If John wanted to give as accurate and informative feedback as possible, but not necessarily make Bob feel good,
What would John be most likely to say?
'Response: ' I thought your presentation was pretty weak and lacked several key elements.",0,informative,"Politeness marker: I thought
Politeness strategy:
1. Negative politeness – Question, hedge

Politeness marker: pretty weak
Politeness strategy:
1. Off-record – Understate","Politeness marker: I thought
Politeness strategy:
1. Negative Politeness - Question, hedge

Politeness marker: pretty weak
Politeness strategy:
1. Off-Record - Understate","Politeness marker: I thought
Politeness strategy:
1. Negative Politeness - Question, hedge

Politeness marker: pretty weak
Politeness strategy:
1. Off-Record - Understate"
"Scenario:
Imagine that Bob just gave a presentation, but he didn't know how good it was. Bob approached John, who knows a lot about giving presentations, and asked ""How was my presentation?""
Rating:
Here's how John actually felt about Bob's presentation:
0 out of 3 hearts
Question:
If John wanted to give as accurate and informative feedback as possible, but not necessarily make Bob feel good,
What would John be most likely to say?
'Response: 'You could really work on your public speaking skills. The presentation felt pretty disjointed and it was difficult to follow at times.",0,informative,"Politeness marker: could really work on
Politeness strategy:
1. Negative Politeness - Counterfactual modal forms (could)

Politeness marker: pretty disjointed
Politeness strategy:
1. Off-Record - Understate (pretty disjointed)

Politeness marker: at times
Politeness strategy:
1. Off-Record - Be vague (at times)","Politeness marker: You could really work on
Politeness strategy:
1. Negative Politeness - Counterfactual modal forms (could/would)
2. Negative Politeness - Hedge (really)

Politeness marker: pretty disjointed
Politeness strategy:
1. Off-Record - Understate (pretty)

Politeness marker: difficult to follow at times
Politeness strategy:
1. Off-Record - Understate (at times)","Politeness marker: You could really work on
Politeness strategy:
1. Negative Politeness - Counterfactual modal forms

Politeness marker: pretty disjointed [pretty]
Politeness strategy:
1. Off-Record - Understate

Politeness marker: at times
Politeness strategy:
1. Off-Record - Be vague (at times)"
